Time	Treating Pressure	Flow Rate	Density	Volume	CMT Return Press	CMT Return Rate	CMT Return Dens	NRD Return Tot
mm:dd:yyyy:hh:mm:ss	bars	l/min	sgu	m3	bars	l/min	sgu	m3
____	______________	________	________	_______	________________	_______________	_______________	______________	
12:15:2023:13:25:59	1.0	139.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:00	1.0	135.7	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:01	1.0	128.3	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:02	2.0	133.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:03	2.0	133.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:04	2.0	138.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:05	2.0	124.6	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:06	2.0	145.5	1.09	0.002	0.3	0.0	0.37	0.0
12:15:2023:13:26:07	2.0	130.3	1.09	0.002	0.3	0.0	0.38	0.0
12:15:2023:13:26:08	2.0	120.6	1.09	0.002	0.3	0.0	0.45	0.0
12:15:2023:13:26:09	2.0	134.3	1.09	0.002	0.3	0.0	0.56	0.0
12:15:2023:13:26:10	2.0	134.3	1.09	0.002	0.3	47.6	0.71	0.0
12:15:2023:13:26:11	2.0	133.6	1.09	0.002	0.3	193.8	0.82	0.0
12:15:2023:13:26:12	2.0	126.4	1.09	0.002	0.3	136.6	0.86	0.0
12:15:2023:13:26:13	2.0	132.9	1.09	0.002	0.3	44.5	0.94	0.0
12:15:2023:13:26:14	2.0	135.0	1.09	0.002	0.3	9.5	0.95	0.0
12:15:2023:13:26:15	2.0	129.6	1.09	0.002	0.3	0.0	0.97	0.0
12:15:2023:13:26:16	2.0	130.2	1.09	0.002	0.3	0.0	0.99	0.0
12:15:2023:13:26:17	2.0	135.7	1.09	0.002	0.3	0.0	0.97	0.0
12:15:2023:13:26:18	2.0	135.7	1.09	0.002	0.3	0.0	1.00	0.0
12:15:2023:13:26:19	2.0	125.2	1.09	0.002	0.3	0.0	1.02	0.0
12:15:2023:13:26:20	2.0	126.4	1.09	0.002	0.3	0.0	0.99	0.0
12:15:2023:13:26:21	2.0	131.6	1.09	0.002	0.3	0.0	1.02	0.0
12:15:2023:13:26:22	1.0	125.2	1.09	0.002	0.3	0.0	1.00	0.0
12:15:2023:13:26:23	2.0	142.4	1.09	0.002	0.3	0.0	1.00	0.0
12:15:2023:13:26:24	2.0	132.2	1.09	0.002	0.3	0.0	0.98	0.0
12:15:2023:13:26:25	2.0	132.2	1.09	0.002	0.3	0.0	1.01	0.0
12:15:2023:13:26:26	1.0	124.6	1.09	0.002	0.3	0.0	1.01	0.0
12:15:2023:13:26:28	2.0	130.2	1.09	0.004	0.3	0.0	1.02	0.0
12:15:2023:13:26:29	1.0	132.9	1.09	0.002	0.3	0.0	1.00	0.0
12:15:2023:13:26:30	2.0	132.2	1.09	0.002	0.3	0.0	0.99	0.0
12:15:2023:13:26:31	2.0	139.3	1.09	0.002	0.3	0.0	0.99	0.0
12:15:2023:13:26:32	2.0	132.9	1.09	0.002	0.3	0.0	0.99	0.0
12:15:2023:13:26:33	2.0	132.9	1.09	0.002	0.3	0.0	1.01	0.0
12:15:2023:13:26:34	3.0	224.6	1.09	0.003	0.9	0.0	1.00	0.0
12:15:2023:13:26:35	3.0	265.8	1.09	0.004	0.9	0.0	0.99	0.0
12:15:2023:13:26:36	3.0	277.1	1.09	0.005	0.9	0.0	1.01	0.0
12:15:2023:13:26:37	3.0	283.1	1.09	0.005	1.2	0.0	1.01	0.0
12:15:2023:13:26:38	3.0	271.4	1.09	0.005	1.2	0.0	1.01	0.0
12:15:2023:13:26:39	3.0	260.5	1.09	0.004	1.2	0.0	1.01	0.0
12:15:2023:13:26:40	3.0	260.5	1.09	0.004	1.2	0.0	0.99	0.0
12:15:2023:13:26:41	3.0	255.4	1.09	0.004	1.2	0.0	1.01	0.0
12:15:2023:13:26:42	3.0	263.1	1.09	0.004	1.2	0.0	1.03	0.0
12:15:2023:13:26:43	3.0	250.5	1.09	0.004	1.2	0.0	1.01	0.0
12:15:2023:13:26:44	3.0	257.9	1.09	0.004	1.2	0.0	0.98	0.0
12:15:2023:13:26:45	3.0	260.5	1.09	0.004	1.2	0.0	0.95	0.0
12:15:2023:13:26:46	3.0	263.1	1.09	0.004	1.2	0.0	0.93	0.0
12:15:2023:13:26:47	3.0	263.1	1.09	0.004	1.2	0.0	0.96	0.0
12:15:2023:13:26:48	3.0	271.4	1.09	0.004	0.9	0.0	0.96	0.0
12:15:2023:13:26:49	3.0	271.4	1.09	0.005	1.2	0.0	0.97	0.0
12:15:2023:13:26:50	3.0	271.4	1.09	0.005	1.2	0.0	0.95	0.0
12:15:2023:13:26:51	3.0	277.1	1.09	0.005	0.9	0.0	0.97	0.0
12:15:2023:13:26:52	3.0	277.1	1.09	0.005	0.9	0.0	1.00	0.0
12:15:2023:13:26:53	3.0	280.1	1.09	0.005	0.9	0.0	0.99	0.0
