Well:	Amstelland	Gauge:	9380	Date:	Saturday, 9 December 2023
Test:	XLOT_9dec	Position:gauge depth 1.383 m MD	Time:	21:24:09
Uncompressed export: All data points included.

No Points: 33792     
Time			Delta Time	Pressure	Temperature
			Hours		psi absolute	°C
09-12-2023 21:34:48	0,17750000	   158,755	    14,6
09-12-2023 21:34:51	0,17833333	   159,466	    14,7
09-12-2023 21:34:54	0,17916667	   159,785	    14,7
09-12-2023 21:34:57	0,18000000	   161,063	    14,7
09-12-2023 21:35:00	0,18083333	   162,021	    14,7
09-12-2023 21:35:03	0,18166667	   162,093	    14,7
09-12-2023 21:35:06	0,18250000	   162,732	    14,7
09-12-2023 21:35:09	0,18333333	   163,051	    14,7
09-12-2023 21:35:12	0,18416667	   164,401	    14,7
09-12-2023 21:35:15	0,18500000	   165,112	    14,7
09-12-2023 21:35:18	0,18583333	   165,751	    14,7
09-12-2023 21:35:21	0,18666667	   166,389	    14,7
09-12-2023 21:35:24	0,18750000	   167,812	    14,8
09-12-2023 21:35:27	0,18833333	   167,812	    14,8
09-12-2023 21:35:30	0,18916667	   168,770	    14,8
09-12-2023 21:35:33	0,19000000	   169,801	    14,8
09-12-2023 21:35:36	0,19083333	   170,120	    14,8
09-12-2023 21:35:39	0,19166667	   171,151	    14,8
09-12-2023 21:35:42	0,19250000	   171,790	    14,8
09-12-2023 21:35:45	0,19333333	   172,821	    14,8
09-12-2023 21:35:48	0,19416667	   173,460	    14,8
09-12-2023 21:35:51	0,19500000	   174,491	    14,9
09-12-2023 21:35:54	0,19583333	   174,883	    14,9
09-12-2023 21:35:57	0,19666667	   176,161	    14,9
09-12-2023 21:36:00	0,19750000	   177,192	    14,9
09-12-2023 21:36:03	0,19833333	   177,831	    14,9
09-12-2023 21:36:06	0,19916667	   178,223	    14,9
09-12-2023 21:36:09	0,20000000	   179,821	    14,9
09-12-2023 21:36:12	0,20083333	   180,213	    14,9
09-12-2023 21:36:15	0,20166667	   183,728	    14,9
09-12-2023 21:36:18	0,20250000	   181,245	    15,0
09-12-2023 21:36:21	0,20333333	   181,245	    15,0
09-12-2023 21:36:24	0,20416667	   181,564	    15,0
09-12-2023 21:36:27	0,20500000	   182,915	    15,0
09-12-2023 21:36:30	0,20583333	   183,627	    15,0
09-12-2023 21:36:33	0,20666667	   183,947	    15,0
09-12-2023 21:36:36	0,20750000	   184,659	    15,0
09-12-2023 21:36:39	0,20833333	   184,979	    15,0
09-12-2023 21:36:42	0,20916667	   185,298	    15,0
09-12-2023 21:36:45	0,21000000	   185,691	    15,1
09-12-2023 21:36:48	0,21083333	   185,938	    15,0
09-12-2023 21:36:51	0,21166667	   185,938	    15,0
09-12-2023 21:36:54	0,21250000	   186,330	    15,1
09-12-2023 21:36:57	0,21333333	   186,011	    15,1
09-12-2023 21:37:00	0,21416667	   186,084	    15,1
09-12-2023 21:37:03	0,21500000	   186,403	    15,1
09-12-2023 21:37:06	0,21583333	   186,084	    15,1
09-12-2023 21:37:09	0,21666667	   186,084	    15,1
09-12-2023 21:37:12	0,21750000	   185,764	    15,1
09-12-2023 21:37:15	0,21833333	   185,764	    15,1
09-12-2023 21:37:18	0,21916667	   185,764	    15,1
09-12-2023 21:37:21	0,22000000	   185,517	    15,1
09-12-2023 21:37:24	0,22083333	   185,517	    15,1
09-12-2023 21:37:27	0,22166667	   185,517	    15,1
09-12-2023 21:37:30	0,22250000	   185,271	    15,1
09-12-2023 21:37:33	0,22333333	   185,198	    15,1
09-12-2023 21:37:36	0,22416667	   185,198	    15,1
09-12-2023 21:37:39	0,22500000	   185,271	    15,1
09-12-2023 21:37:42	0,22583333	   185,590	    15,1
09-12-2023 21:37:45	0,22666667	   185,271	    15,1
09-12-2023 21:37:48	0,22750000	   186,230	    15,1
09-12-2023 21:37:51	0,22833333	   185,910	    15,1
09-12-2023 21:37:54	0,22916667	   185,590	    15,1
09-12-2023 21:37:57	0,23000000	   186,869	    15,1
09-12-2023 21:38:00	0,23083333	   187,189	    15,1
09-12-2023 21:38:03	0,23166667	   187,581	    15,1
09-12-2023 21:38:06	0,23250000	   187,901	    15,1
09-12-2023 21:38:09	0,23333333	   188,860	    15,1
09-12-2023 21:38:12	0,23416667	   189,180	    15,1
09-12-2023 21:38:15	0,23500000	   190,532	    15,2
09-12-2023 21:38:18	0,23583333	   190,778	    15,1
09-12-2023 21:38:21	0,23666667	   191,491	    15,2
09-12-2023 21:38:24	0,23750000	   192,130	    15,2
09-12-2023 21:38:27	0,23833333	   193,089	    15,2
09-12-2023 21:38:30	0,23916667	   194,048	    15,2
09-12-2023 21:38:33	0,24000000	   194,441	    15,2
09-12-2023 21:38:36	0,24083333	   194,441	    15,2
09-12-2023 21:38:39	0,24166667	   195,400	    15,2
09-12-2023 21:38:42	0,24250000	   195,793	    15,2
09-12-2023 21:38:45	0,24333333	   196,753	    15,2
09-12-2023 21:38:48	0,24416667	   198,031	    15,2
09-12-2023 21:38:51	0,24500000	   198,744	    15,2
09-12-2023 21:38:54	0,24583333	   198,671	    15,2
09-12-2023 21:38:57	0,24666667	   199,704	    15,2
09-12-2023 21:39:00	0,24750000	   200,982	    15,2
09-12-2023 21:39:03	0,24833333	   201,376	    15,3
09-12-2023 21:39:06	0,24916667	   202,015	    15,3
09-12-2023 21:39:09	0,25000000	   202,975	    15,3
09-12-2023 21:39:12	0,25083333	   203,934	    15,3
09-12-2023 21:39:15	0,25166667	   204,254	    15,3
09-12-2023 21:39:18	0,25250000	   204,327	    15,3
09-12-2023 21:39:21	0,25333333	   205,926	    15,3
09-12-2023 21:39:24	0,25416667	   207,205	    15,3
09-12-2023 21:39:27	0,25500000	   207,845	    15,3
09-12-2023 21:39:30	0,25583333	   208,238	    15,3
09-12-2023 21:39:33	0,25666667	   208,878	    15,3
09-12-2023 21:39:36	0,25750000	   209,837	    15,3
09-12-2023 21:39:39	0,25833333	   210,477	    15,3
09-12-2023 21:39:42	0,25916667	   210,871	    15,3
09-12-2023 21:39:45	0,26000000	   212,150	    15,3
09-12-2023 21:39:48	0,26083333	   212,150	    15,3
09-12-2023 21:39:51	0,26166667	   212,789	    15,3
09-12-2023 21:39:54	0,26250000	   215,028	    15,3
09-12-2023 21:39:57	0,26333333	   213,503	    15,3
09-12-2023 21:40:00	0,26416667	   213,749	    15,3
09-12-2023 21:40:03	0,26500000	   215,102	    15,3
09-12-2023 21:40:06	0,26583333	   214,856	    15,4
09-12-2023 21:40:09	0,26666667	   214,782	    15,3
09-12-2023 21:40:12	0,26750000	   215,422	    15,3
09-12-2023 21:40:15	0,26833333	   216,136	    15,4
09-12-2023 21:40:18	0,26916667	   216,775	    15,4
09-12-2023 21:40:21	0,27000000	   216,775	    15,4
09-12-2023 21:40:24	0,27083333	   216,455	    15,4
09-12-2023 21:40:27	0,27166667	   216,775	    15,4
09-12-2023 21:40:30	0,27250000	   216,455	    15,4
09-12-2023 21:40:33	0,27333333	   216,775	    15,4
09-12-2023 21:40:36	0,27416667	   216,775	    15,4
09-12-2023 21:40:39	0,27500000	   216,455	    15,4
09-12-2023 21:40:42	0,27583333	   216,530	    15,4
09-12-2023 21:40:45	0,27666667	   216,210	    15,4
09-12-2023 21:40:48	0,27750000	   216,210	    15,4
09-12-2023 21:40:51	0,27833333	   216,210	    15,4
09-12-2023 21:40:54	0,27916667	   215,890	    15,4
09-12-2023 21:40:57	0,28000000	   215,890	    15,4
09-12-2023 21:41:00	0,28083333	   215,890	    15,4
09-12-2023 21:41:03	0,28166667	   215,890	    15,4
09-12-2023 21:41:06	0,28250000	   215,644	    15,4
09-12-2023 21:41:09	0,28333333	   215,964	    15,4
09-12-2023 21:41:12	0,28416667	   215,964	    15,4
09-12-2023 21:41:15	0,28500000	   215,964	    15,4
09-12-2023 21:41:18	0,28583333	   215,964	    15,4
09-12-2023 21:41:21	0,28666667	   214,365	    15,4
09-12-2023 21:41:24	0,28750000	   213,725	    15,4
09-12-2023 21:41:27	0,28833333	   218,203	    15,4
09-12-2023 21:41:30	0,28916667	   217,564	    15,4
09-12-2023 21:41:33	0,29000000	   217,244	    15,4
09-12-2023 21:41:36	0,29083333	   217,244	    15,4
09-12-2023 21:41:39	0,29166667	   218,203	    15,4
09-12-2023 21:41:42	0,29250000	   218,523	    15,4
09-12-2023 21:41:45	0,29333333	   219,163	    15,4
09-12-2023 21:41:48	0,29416667	   219,877	    15,4
09-12-2023 21:41:51	0,29500000	   220,122	    15,4
09-12-2023 21:41:54	0,29583333	   221,156	    15,4
09-12-2023 21:41:57	0,29666667	   221,476	    15,4
09-12-2023 21:42:00	0,29750000	   222,436	    15,4
09-12-2023 21:42:03	0,29833333	   222,436	    15,4
09-12-2023 21:42:06	0,29916667	   223,715	    15,4
09-12-2023 21:42:09	0,30000000	   223,395	    15,4
09-12-2023 21:42:12	0,30083333	   224,995	    15,4
09-12-2023 21:42:15	0,30166667	   224,675	    15,4
09-12-2023 21:42:18	0,30250000	   225,709	    15,4
09-12-2023 21:42:21	0,30333333	   226,669	    15,4
09-12-2023 21:42:24	0,30416667	   226,988	    15,4
09-12-2023 21:42:27	0,30500000	   228,268	    15,4
09-12-2023 21:42:30	0,30583333	   228,343	    15,5
09-12-2023 21:42:33	0,30666667	   229,622	    15,5
09-12-2023 21:42:36	0,30750000	   229,227	    15,4
09-12-2023 21:42:39	0,30833333	   231,147	    15,4
09-12-2023 21:42:42	0,30916667	   231,222	    15,5
09-12-2023 21:42:45	0,31000000	   231,222	    15,5
09-12-2023 21:42:48	0,31083333	   232,181	    15,5
09-12-2023 21:42:51	0,31166667	   234,176	    15,5
09-12-2023 21:42:54	0,31250000	   232,896	    15,5
09-12-2023 21:42:57	0,31333333	   234,815	    15,5
09-12-2023 21:43:00	0,31416667	   234,815	    15,5
09-12-2023 21:43:03	0,31500000	   235,455	    15,5
09-12-2023 21:43:06	0,31583333	   236,170	    15,5
09-12-2023 21:43:09	0,31666667	   237,055	    15,5
09-12-2023 21:43:12	0,31750000	   237,770	    15,5
09-12-2023 21:43:15	0,31833333	   239,049	    15,5
09-12-2023 21:43:18	0,31916667	   238,729	    15,5
09-12-2023 21:43:21	0,32000000	   240,084	    15,5
09-12-2023 21:43:24	0,32083333	   240,724	    15,5
09-12-2023 21:43:27	0,32166667	   241,044	    15,5
09-12-2023 21:43:30	0,32250000	   241,684	    15,5
09-12-2023 21:43:33	0,32333333	   242,004	    15,5
09-12-2023 21:43:36	0,32416667	   242,964	    15,5
09-12-2023 21:43:39	0,32500000	   248,722	    15,5
09-12-2023 21:43:42	0,32583333	   245,279	    15,6
09-12-2023 21:43:45	0,32666667	   246,483	    15,5
09-12-2023 21:43:48	0,32750000	   242,719	    15,6
09-12-2023 21:43:51	0,32833333	   244,563	    15,5
09-12-2023 21:43:54	0,32916667	   244,639	    15,6
09-12-2023 21:43:57	0,33000000	   246,558	    15,6
09-12-2023 21:44:00	0,33083333	   246,558	    15,6
09-12-2023 21:44:03	0,33166667	   246,558	    15,6
09-12-2023 21:44:06	0,33250000	   246,558	    15,6
09-12-2023 21:44:09	0,33333333	   246,878	    15,6
09-12-2023 21:44:12	0,33416667	   247,274	    15,6
09-12-2023 21:44:15	0,33500000	   247,198	    15,6
09-12-2023 21:44:18	0,33583333	   247,274	    15,6
09-12-2023 21:44:21	0,33666667	   247,274	    15,6
09-12-2023 21:44:24	0,33750000	   247,274	    15,6
09-12-2023 21:44:27	0,33833333	   247,274	    15,6
09-12-2023 21:44:30	0,33916667	   246,954	    15,6
09-12-2023 21:44:33	0,34000000	   246,954	    15,6
09-12-2023 21:44:36	0,34083333	   246,954	    15,6
09-12-2023 21:44:39	0,34166667	   246,634	    15,6
09-12-2023 21:44:42	0,34250000	   246,634	    15,6
09-12-2023 21:44:45	0,34333333	   246,634	    15,6
09-12-2023 21:44:48	0,34416667	   246,634	    15,6
09-12-2023 21:44:51	0,34500000	   246,314	    15,6
09-12-2023 21:44:54	0,34583333	   246,314	    15,6
09-12-2023 21:44:57	0,34666667	   246,390	    15,6
09-12-2023 21:45:00	0,34750000	   246,390	    15,6
09-12-2023 21:45:03	0,34833333	   246,390	    15,6
09-12-2023 21:45:06	0,34916667	   246,390	    15,6
09-12-2023 21:45:09	0,35000000	   246,390	    15,6
09-12-2023 21:45:12	0,35083333	   246,314	    15,6
09-12-2023 21:45:15	0,35166667	   246,709	    15,6
09-12-2023 21:45:18	0,35250000	   246,709	    15,6
09-12-2023 21:45:21	0,35333333	   246,709	    15,6
09-12-2023 21:45:24	0,35416667	   246,709	    15,6
09-12-2023 21:45:27	0,35500000	   252,149	    15,6
09-12-2023 21:45:30	0,35583333	   250,869	    15,6
09-12-2023 21:45:33	0,35666667	   250,229	    15,6
09-12-2023 21:45:36	0,35750000	   246,390	    15,6
09-12-2023 21:45:39	0,35833333	   246,709	    15,6
09-12-2023 21:45:42	0,35916667	   246,390	    15,6
09-12-2023 21:45:45	0,36000000	   249,269	    15,6
09-12-2023 21:45:48	0,36083333	   248,629	    15,6
09-12-2023 21:45:51	0,36166667	   249,665	    15,6
09-12-2023 21:45:54	0,36250000	   248,385	    15,6
09-12-2023 21:45:57	0,36333333	   250,625	    15,6
09-12-2023 21:46:00	0,36416667	   249,985	    15,6
09-12-2023 21:46:03	0,36500000	   251,585	    15,6
09-12-2023 21:46:06	0,36583333	   251,905	    15,6
09-12-2023 21:46:09	0,36666667	   252,865	    15,6
09-12-2023 21:46:12	0,36750000	   253,185	    15,6
09-12-2023 21:46:15	0,36833333	   253,825	    15,6
09-12-2023 21:46:18	0,36916667	   254,145	    15,6
09-12-2023 21:46:21	0,37000000	   254,785	    15,6
09-12-2023 21:46:24	0,37083333	   255,501	    15,6
09-12-2023 21:46:27	0,37166667	   255,745	    15,6
09-12-2023 21:46:30	0,37250000	   257,025	    15,6
09-12-2023 21:46:33	0,37333333	   256,461	    15,6
09-12-2023 21:46:36	0,37416667	   258,701	    15,6
09-12-2023 21:46:39	0,37500000	   257,741	    15,6
09-12-2023 21:46:42	0,37583333	   259,341	    15,6
09-12-2023 21:46:45	0,37666667	   259,981	    15,6
09-12-2023 21:46:48	0,37750000	   260,301	    15,6
09-12-2023 21:46:51	0,37833333	   261,261	    15,6
09-12-2023 21:46:54	0,37916667	   261,901	    15,6
09-12-2023 21:46:57	0,38000000	   261,901	    15,6
09-12-2023 21:47:00	0,38083333	   264,537	    15,7
09-12-2023 21:47:03	0,38166667	   262,617	    15,7
09-12-2023 21:47:06	0,38250000	   264,781	    15,6
09-12-2023 21:47:09	0,38333333	   266,061	    15,6
09-12-2023 21:47:12	0,38416667	   264,217	    15,7
09-12-2023 21:47:15	0,38500000	   268,301	    15,6
09-12-2023 21:47:18	0,38583333	   266,457	    15,7
09-12-2023 21:47:21	0,38666667	   268,697	    15,7
09-12-2023 21:47:24	0,38750000	   268,377	    15,7
09-12-2023 21:47:27	0,38833333	   269,017	    15,7
09-12-2023 21:47:30	0,38916667	   270,297	    15,7
09-12-2023 21:47:33	0,39000000	   270,617	    15,7
